Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Snowfall amount raw  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2018;09;05;18;00;23.75;60.00;1014.70;0.00;0.00;0.00;0.00;0.00;0.00;60.00;438.77;23.71;318.08;26.60;320.49;11.02;308.37;24.84
2018;09;05;19;00;21.75;69.00;1014.50;0.00;0.00;0.00;0.00;0.00;0.00;60.00;253.65;21.47;325.24;24.27;327.72;11.21;317.60;24.84
2018;09;05;20;00;19.05;81.00;1015.00;0.00;0.00;0.00;0.00;0.00;0.00;59.51;64.97;16.90;333.43;23.36;335.41;11.98;327.26;22.68
2018;09;05;21;00;17.80;89.00;1015.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.12;340.64;20.72;342.82;10.03;338.96;20.88
2018;09;05;22;00;17.05;93.00;1015.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.59;342.18;19.73;345.20;6.49;356.82;18.00
2018;09;05;23;00;16.30;93.00;1015.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.79;342.90;18.51;346.50;3.76;16.70;19.80
2018;09;06;00;00;15.53;94.00;1016.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.45;342.26;16.24;347.20;1.94;68.20;21.24
2018;09;06;01;00;14.88;95.00;1015.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.65;343.07;14.26;349.82;1.80;90.00;9.00
2018;09;06;02;00;14.43;95.00;1015.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.12;347.20;13.91;349.56;1.14;71.57;13.68
2018;09;06;03;00;14.17;95.00;1015.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.64;351.87;14.26;349.82;1.08;360.00;11.88
2018;09;06;04;00;13.87;95.00;1014.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.20;360.00;14.87;353.05;1.84;348.69;18.36
2018;09;06;05;00;13.69;95.00;1014.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.88;6.01;12.32;353.29;2.28;341.57;6.12
2018;09;06;06;00;13.65;94.00;1014.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.24;5.71;8.47;347.74;1.94;338.20;5.76
2018;09;06;07;00;13.55;94.00;1014.70;0.00;0.00;0.00;0.00;0.00;0.00;52.77;0.00;7.24;5.71;5.45;352.41;1.53;315.00;5.04
2018;09;06;08;00;15.41;88.00;1015.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;48.06;5.80;7.13;2.28;341.57;1.08;270.00;3.60
2018;09;06;09;00;19.13;70.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;231.40;1.14;341.57;1.14;198.43;1.08;270.00;2.88
2018;09;06;10;00;21.83;59.00;1014.50;0.00;0.00;0.00;0.00;0.00;0.00;60.00;420.97;2.55;225.00;3.22;206.57;1.44;180.00;3.24
2018;09;06;11;00;24.25;51.00;1014.30;0.00;0.00;0.00;0.00;0.00;0.00;60.00;583.84;5.09;225.00;5.19;213.69;2.60;146.31;4.68
2018;09;06;12;00;25.94;45.00;1014.10;0.00;0.00;0.00;0.00;0.00;0.00;60.00;714.67;8.21;232.13;7.39;223.03;2.55;135.00;8.28
2018;09;06;13;00;26.91;43.00;1014.90;0.00;0.00;0.00;0.00;0.00;0.00;60.00;798.33;11.68;303.69;11.21;312.40;8.71;330.26;11.88
2018;09;06;14;00;27.05;43.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;829.48;20.02;307.69;20.63;312.88;8.37;334.54;18.00
2018;09;06;15;00;26.46;45.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;805.45;25.77;311.04;27.49;315.00;3.08;339.44;21.24
2018;09;06;16;00;25.71;48.00;1013.70;0.00;0.00;0.00;0.00;0.00;0.00;60.00;728.02;28.02;317.08;29.91;320.37;0.36;90.00;22.32
2018;09;06;17;00;24.71;52.00;1014.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;603.42;27.08;324.20;29.56;325.92;3.76;196.70;23.04
2018;09;06;18;00;23.19;58.00;1014.10;0.00;0.00;0.00;0.00;0.00;0.00;60.00;439.66;25.57;327.65;28.71;329.90;5.96;205.02;23.04
2018;09;06;19;00;21.08;67.00;1013.50;0.00;0.00;0.00;0.00;0.00;0.00;60.00;251.87;23.19;332.24;26.89;333.78;9.35;195.64;21.96
2018;09;06;20;00;18.08;80.00;1013.40;0.00;0.00;0.00;0.00;0.00;0.00;58.03;62.30;19.05;337.80;25.74;339.54;14.15;194.74;19.44
2018;09;06;21;00;16.72;88.00;1013.80;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;16.18;339.15;23.26;338.20;15.46;192.09;17.64
2018;09;06;22;00;16.18;90.00;1014.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.80;344.88;23.69;343.22;15.50;182.66;23.76
2018;09;06;23;00;15.49;92.00;1013.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11.37;349.05;19.21;347.01;14.80;175.82;15.48
